Lophopanopeus_bellus_Zoea_I,5,Lophopanopeus_bellus_Larvae,,
Lophopanopeus_bellus_Zoea_II,1,Lophopanopeus_bellus_Larvae,,
Lophopanopeus_bellus_Zoea_III,1,Lophopanopeus_bellus_Larvae,,
Lophopanopeus_bellus_Zoea_IV,3,Lophopanopeus_bellus_Larvae,,
Macroplastic_Object,1,Objects,,
Mesocalanus_tenuicornis,21,Mesocalanus_tenuicornis,,
Metridia,10,Metridia,,
Metriocnemus_Larvae,1,Arthropoda,,possibly change back later
Microcalanus_pygmaeus_pusillus,2,Pseudocalanidae,,
Microplastic_chunk_Object,9,Objects,,
Microplastic_fiber_Object,5,Objects,,
Microplastic_film_Object,1,Objects,,
Microplastic_Object,1,Objects,,
Microsetella_rosea,3,Microsetella_rosea,,
Microstomus_pacificus_Egg,3,Pleuronectidae_Egg,,possibly change back later
Monstrilla_helgolandica,1,Copepoda,,
Monstrilla_spinosa,1,Copepoda,,
Nannastacidae,6,Cumacea,,possibly change back later
Nematoda,2,Parasites,,
Neocalanus_plumchrus,3,Neocalanus_plumchrus,,
Neotrypaea_californiensis_Zoea_I,14,Neotrypaea_californiensis_Zoea,,
Neotrypaea_californiensis_Zoea_II,1,Neotrypaea_californiensis_Zoea,,
Oikopleura,106,Oikopleura,,
Oncaea,1,Cyclopoida,,
Oncaea_englishi,1,Cyclopoida,,
Oregonia_gracilis_Megalopa,1,Oregonia_gracilis_Larvae,,
Oregonia_gracilis_Zoea_I,2,Oregonia_gracilis_Larvae,,
Oregonia_gracilis_Zoea_II,1,Oregonia_gracilis_Larvae,,
Ostracoda,3,Ostracoda,,
Paguridae_Zoea_I,1,Anomura_Zoea,,
Pagurus_granosimanus_Zoea_II,1,Anomura_Zoea,,
Pandalidae_Zoea,3,Pandalidae_Zoea,,
Paracalanus_parvus,32,Paracalanus_parvus,,
Paraeuchaeta_elongata,1,Calanoida,,
Pellet_Detritus,1,Detritus,,
Phaeophyceae,9,Phaeophyceae,,
Pinnotheres_taylori_Zoea_I,2,Pinnotheridae_Zoea,,
Pinnotheridae_Zoea,1,Pinnotheridae_Zoea,,
Pleocyemata_Larvae,8,Pleocyemata_Larvae,,
Pleocyemata_Zoea,4,Pleocyemata_Larvae,,possibly change back later
Pleuronichthys_coenosus_Egg,25,Pleuronectidae_Egg,,possibly change back later
Podon,12,Podon,,
Podon_leuckartii,15,Podon_leuckartii,,
Podon_polyphemoides,35,Podon_polyphemoides,,
Podonidae,61,Podonidae,,
Polychaeta_Nectochaete,8,Polychaeta_Nectochaete,,
Porcellanidae_Zoea,2,Porcellanidae_Zoea,,
Porcellanidae_Zoea_II,5,Porcellanidae_Zoea,,
Primno_macropa,2,Hyperiidea,,
Pseudocalanus,63,Pseudocalanidae,,
Pteropoda,2,Pteropoda,,
Pteropoda_Egg,16,Pteropoda_Egg,,
Pteropoda_Veliger,37,Pteropoda_Veliger,,
Pugettia_Megalopa,1,Pugettia_Megalopa,,
Pugettia_producta_Megalopa,1,Pugettia_Megalopa,,
Pugettia_richii_Megalopa,1,Pugettia_Megalopa,,
Sagittoidea,34,Sagittoidea,,
Sarsamphiascus,2,Harpacticoida,,
Semibalanus_balanoides_Cyprid,4,Semibalanus_balanoides_Cyprid,,
Senticaudata,7,Senticaudata,,
