old_category,new_category
Polychaeta_Nectochaete,Polychaeta_Nectochaete
Porcelain_Object,Objects
Porcellanidae_Zoea,Porcellanidae_Zoea
Porcellanidae_Zoea_II,Porcellanidae_Zoea
Pseudocalanus,Pseudocalanus
Pteropoda,Pteropoda
Pteropoda_Veliger,Mollusca_Veliger
Rock_Object,Objects
Sagittoidea,Sagittoidea
Sarsamphiascus,Harpacticoida
Senticaudata,Senticaudata
Siphonophorae,Siphonophorae
Spionidae_Nectochaete,Spionidae_Nectochaete
Themisto_pacifica,Themisto_pacifica
Thysanoessa,Thysanoessa
Thysanoessa_inermis,Thysanoessa_inermis
Thysanoessa_raschii,Thysanoessa
Thysanoessa_spinifera,Thysanoessa_spinifera
Tisbe,Harpacticoida
Tomopteris,Tomopteris
Tortanus_discaudatus,Tortanus_discaudatus
Trematoda_Parasite,Parasites
Triconia_conifera,Cyclopoida
