old_category,new_category,prey_category,prey_group,prey_group_less,habitat,gelatinous,body_type,functional,three_groups
Crustacea,Crustacea,Digested_food,Digested,Digested,Other,Non-gelatinous,NVM,Other,Other
Ctenophora,Ctenophora,Ctenophora,Gelatinous,Gelatinous,Pelagic,Gelatinous,Gelatinous,Gelatinous,Gelatinous
Culicomorpha,Culicomorpha,Insecta,Insects,Other,Nearshore,Non-gelatinous,Insects,Insects,Other
Culicomorpha_Larvae,Diptera_Larvae,Insecta,Insects,Other,Nearshore,Non-gelatinous,Insects,Insects,Other
Cumacea,Cumacea,Cumacea,Cumacean,Other,Nearshore,Non-gelatinous,Crustacean,Nearshore_crust,Crustacean
Cyclopoida,Cyclopoida,Cyclopoida,Cyclopoids,Copepods_Other,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Cyphocaris_challengeri,Senticaudata,Gammarida,Amphipods,Other,Nearshore,Non-gelatinous,Crustacean,Nearshore_crust,Crustacean
Detritus,Detritus,Detritus,Detritus,Other,Other,Non-gelatinous,NVM,Other,Other
Digested_food,Digested_food,Digested_food,Digested,Digested,Other,Non-gelatinous,NVM,Other,Other
Diptera,Diptera,Insecta,Insects,Other,Nearshore,Non-gelatinous,Insects,Insects,Other
Diptera_Pupae,Diptera_Larvae,Insecta,Insects,Other,Nearshore,Non-gelatinous,Insects,Insects,Other
Ditrichocorycaeus_anglicus,Ditrichocorycaeus_anglicus,Ditrichocorycaeus,Cyclopoids,Copepods_Other,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Ditrichocorycaeus_anglicus_Copepodite,Ditrichocorycaeus_anglicus_Copepodite,Ditrichocorycaeus,Cyclopoids,Copepods_Other,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Empty,Empty,Empty,Digested,Digested,Other,Non-gelatinous,NVM,Other,Other
Epilabidocera_amphrites,Epilabidocera_amphrites,Epilabidocera_amphrites,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Epilabidocera_amphrites_Copepodite,Calanoida_Larvae,Epilabidocera_amphrites,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
