old_category,new_taxa,new_category,category
Harpacticoida,Harpacticoida,Other,Harpacticoids
Harpacticus,Harpacticus,Other,Harpacticoids
Hemigrapsus_nudus_Zoea,Hemigrapsus_Larvae,Decapods,Decapods
Hemigrapsus_nudus_Zoea V,Hemigrapsus_Larvae,Decapods,Decapods
Hemigrapsus_nudus_Zoea_I,Hemigrapsus_Larvae,Decapods,Decapods
Hemigrapsus_nudus_Zoea_II,Hemigrapsus_Larvae,Decapods,Decapods
Hemigrapsus_nudus_Zoea_III,Hemigrapsus_Larvae,Decapods,Decapods
Hemigrapsus_oregonensis_Megalopa,Hemigrapsus_Larvae,Decapods,Decapods
Hemigrapsus_oregonensis_Zoea_I,Hemigrapsus_Larvae,Decapods,Decapods
Hemigrapsus_Zoea,Hemigrapsus_Larvae,Decapods,Decapods
Hyale,Senticaudata,Other,Amphipods
Hydrachnidia,,Other,Insects
Hyperia,,Other,Amphipods
Hyperiidae,,Other,Amphipods
Hyperiidae_Juvenile,,Other,Amphipods
Hyperoche,,Other,Amphipods
Hyperoche_mediterranea,,Other,Amphipods
Hyperoche_medusarum,,Other,Amphipods
Insecta,,Other,Insects
Insecta_Larvae,,Other,Insects
Isopoda_Juvenile,,Other,Isopods
Isopoda_Larvae,,Other,Isopods
Kellia_suborbicularis_Veliger,,Other,Bivalves
Lepeophtheirus_salmonis_Juvenile,,Other,Parasites
Limacina_helicina,,Other,Pteropods
Lophopanopeus_bellus_bellus_Zoea_II,,Decapods,Decapods
Lophopanopeus_bellus_Megalopa,,Decapods,Decapods
Lophopanopeus_bellus_Zoea,,Decapods,Decapods
Lophopanopeus_bellus_Zoea_I,,Decapods,Decapods
Lophopanopeus_bellus_Zoea_II,,Decapods,Decapods
Lophopanopeus_bellus_Zoea_III,,Decapods,Decapods
Lophopanopeus_bellus_Zoea_IV,,Decapods,Decapods
Macroplastic_Object,,Other,Objects
Mesocalanus_tenuicornis,,Calanoids,Calanoids
Metridia,,Calanoids,Calanoids
Metridia_curticaudata,,Calanoids,Calanoids
Metridia_lucens,,Calanoids,Calanoids
Metriocnemus_Larvae,,Other,Insects
Microcalanus_pygmaeus_pusillus,,Calanoids,Calanoids
Microplastic_chunk_Object,,Other,Objects
Microplastic_fiber_Object,,Other,Objects
Microplastic_film_Object,,Other,Objects
Microplastic_Object,,Other,Objects
Microsetella_rosea,,Other,Harpacticoids
Microstomus_pacificus_Egg,,Eggs,Eggs
Monocorophium,,Other,Amphipods
Monstrilla_helgolandica,,Other,Monstrilloids
Monstrilla_spinosa,,Other,Monstrilloids
Nannastacidae,,Other,Harpacticoids
Nematoda,,Other,Parasites
Nematoscelis_difficilis,,Euphausiids,Euphausiids
Neocalanus_cristatus,,Calanoids,Calanoids
Neocalanus_plumchrus,,Calanoids,Calanoids
Neotrypaea_californiensis_Zoea_I,,Decapods,Decapods
Neotrypaea_californiensis_Zoea_II,,Decapods,Decapods
Neotrypaea_californiensis_Zoea_III,,Decapods,Decapods
Oikopleura,,Larvaceans,Larvaceans
Oithona,,Other,Cyclopoids
Oncaea,,Other,Cyclopoids
Oncaea_englishi,,Other,Cyclopoids
Oregonia_gracilis_Megalopa,,Decapods,Decapods
Oregonia_gracilis_Zoea_I,,Decapods,Decapods
Oregonia_gracilis_Zoea_II,,Decapods,Decapods
Ostracoda,,Other,Ostracods
Paguridae_Zoea_I,,Decapods,Decapods
Paguridae_Zoea_IV,,Decapods,Decapods
Pagurus_granosimanus_Zoea_II,,Decapods,Decapods
Pagurus_ochotensis_Megalopa,,Decapods,Decapods
Pandalidae_Zoea,,Decapods,Decapods
Pandalus_eous_Zoea_IV,,Decapods,Decapods
Pandalus_jordani_Zoea V,,Decapods,Decapods
Pandalus_jordani_Zoea_VI,,Decapods,Decapods
Pandalus_Zoea,,Decapods,Decapods
Paracalanus_parvus,,Calanoids,Calanoids
Paraeuchaeta_elongata,,Calanoids,Calanoids
Pellet_Detritus,,Other,Detritus
Phaeophyceae,,Other,Detritus
Pinnixa_Megalopa,,Decapods,Decapods
Pinnotheres_Megalopa,,Decapods,Decapods
Pinnotheres_taylori_Zoea_I,,Decapods,Decapods
Pinnotheridae_Zoea,,Decapods,Decapods
Pleocyemata_Larvae,,Decapods,Decapods
Pleocyemata_Zoea,,Decapods,Decapods
Pleuronectidae_Egg,,Eggs,Eggs
Pleuronichthys_coenosus_Egg,,Eggs,Eggs
Podon,Podonidae,Cladocerans,Cladocerans
Podon_leuckartii,Podonidae,Cladocerans,Cladocerans
Pleopis_polyphemoides,Podonidae,Cladocerans,Cladocerans
Podonidae,,Cladocerans,Cladocerans
Polychaeta_Nectochaete,,Other,Polychaetes
Porcelain_Object,,Other,Objects
Porcellanidae_Zoea,,Decapods,Decapods
Porcellanidae_Zoea_II,,Decapods,Decapods
Primno_macropa,,Other,Amphipods
Pseudocalanus,,Calanoids,Calanoids
Pteropoda,,Other,Pteropods
Pteropoda_Egg,,Eggs,Eggs
Pteropoda_Veliger,,Pteropods,Pteropods
Pugettia_Megalopa,,Decapods,Decapods
Pugettia_producta_Megalopa,,Decapods,Decapods
Pugettia_richii_Megalopa,,Decapods,Decapods
Rock_Object,,Other,Objects
Sagittoidea,,Chaetognaths,Chaetognaths
Sarsamphiascus,,Other,Amphipods
Semibalanus_balanoides_Cyprid,,Barnacles,Barnacles
Senticaudata,,Other,Amphipods
Senticaudata_Juvenile,,Other,Amphipods
Siphonophorae,,Gelatinous,Gelatinous
Spionidae_Nectochaete,,Other,Polychaetes
Thalestridae,,Other,Harpacticoids
Themisto_pacifica,,Other,Amphipods
Thysanoessa,,Euphausiids,Euphausiids
Thysanoessa_inermis,,Euphausiids,Euphausiids
Thysanoessa_raschii,,Euphausiids,Euphausiids
Thysanoessa_spinifera,,Euphausiids,Euphausiids
Tigriopus,,Other,Harpacticoids
Tisbe,,Other,Harpacticoids
Tomopteris,,Other,Polychaetes
Tomopteris_septentrionalis,,Other,Polychaetes
Tortanus_discaudatus,,Calanoids,Calanoids
Trematoda_Parasite,,Other,Parasites
Triconia_conifera,,Other,Cyclopoids
Zaus,,Other,Harpacticoids
