ufn_names,site_names,species_names,region_names,Acartia,Acartia_longiremis,Actinopterygii_Larvae,Aetideus_divergens,Amphibalanus_improvisus_Cyprid,Amphipoda,Aoroides_columbiae,Arachnida,Asteroidea_Brachiolaria,Balanomorpha,Balanomorpha_Cyprid,Balanomorpha_Molt,Balanomorpha_Nauplii,Balanus_crenatus_Cyprid,Balanus_glandula_Cyprid,Brachyura_Megalopa,Brachyura_Zoea,Calanoida,Calanoida_Copepodite,Calanus,Calanus_marshallae,Calanus_pacificus,Cancer_antennarius_Zoea,Cancer_gracilis_Zoea,Cancer_productus_Megalopa,Cancer_Zoea,Caprella,Caridea_Zoea,Centropages_abdominalis,Cnidaria,Copepoda,Coscinodiscophycidae,Crustacea,Ctenophora,Culicomorpha,Culicomorpha_Larvae,Cyclopoida,Detritus,Digested_food,Diptera,Diptera_Pupae,Ditrichocorycaeus_anglicus,Ditrichocorycaeus_anglicus_Copepodite,Epilabidocera_amphrites,Eucalanus,Eucalanus_bungii,Eucalanus_hyalinus,Eukrohnia_hamata,Eumalacostraca_Larvae,Euphausia_pacifica,Euphausiidae,Euphausiidae_Calyptopis,Euphausiidae_Furcilia,Euphausiidae_Juvenile,Euphausiidae_Nauplii,Eurytemora_affinis,Evadne_tergestina,Fabia_subquadrata_Zoea_III,Harpacticoida,Harpacticus,Hemigrapsus_Larvae,Hemigrapsus_nudus_Zoea,Hyale,Hyperiidae,Hyperiidae_Juvenile,Hyperoche,Hyperoche_medusarum,Insecta,Isopoda_Juvenile,Kellia_suborbicularis_Veliger,Lophopanopeus_bellus_Zoea,Mesocalanus_tenuicornis,Metridia,Metridia_curticaudata,Microcalanus_pygmaeus_pusillus,Monocorophium,Nannastacidae,Neocalanus_plumchrus,Neotrypaea_californiensis_Zoea,Objects,Oikopleura,Oregonia_gracilis_Zoea_II,Ostracoda,Paguridae_Larvae,Pandalidae_Zoea,Pandalus_jordani_Zoea,Pandalus_Zoea,Paracalanus_parvus,Paraeuchaeta_elongata,Parasites,Pinnotheridae_Megalopa,Pinnotheridae_Zoea,Pleocyemata_Larvae,Pleocyemata_Zoea,Pleuronectidae_Egg,Podon_leuckartii,Podon_polyphemoides,Podonidae,Polychaeta_Nectochaete,Porcellanidae_Zoea,Pseudocalanus,Pteropoda,Pteropoda_Veliger,Sagittoidea,Sarsamphiascus,Senticaudata,Siphonophorae,Spionidae_Nectochaete,Themisto_pacifica,Thysanoessa,Thysanoessa_inermis,Thysanoessa_raschii,Thysanoessa_spinifera,Tisbe,Tomopteris,Tortanus_discaudatus,Triconia_conifera,Total
U3199,J02,Chum,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557522124,0.008849558,0,7.168141593,0.309734513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159292035,0.300884956,0,0,12.19469027,0,18.31858407,42.15044248,0,0.522123894,0,0,0,0,0,0,0,0,0,0,0.699115044,0,0,0.203539823,0,0,0,0,0,0,0,0,0,0,3.743362832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008849558,0,0,3.097345133,0,0,0,0,4.265486726,0,0,0.522123894,5.769911504,0,0,0,0,100
U3200,J02,Chum,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276067106,0,0,49.54342748,8.17583351,0,0,0,0,0,0,0.021235931,0,0,0,0,0,0,0,0,0,8.324485029,0,0,0,0,2.187300913,0,0,0,4.820556381,0,0,16.11807178,0.021235931,2.590783606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467190486,0,0,0,0,0,0,0,0,0,0,0,0,0.148651518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12359312,0,0,0,0,2.612019537,0,0,0,2.569547675,0,0,0,0,100
U3325,D09,Chum,QUADRA,0,0,0.440528634,0,0,0,0,0,0,0,0,0,0.220264317,0,0,0,0,3.964757709,0,0,6.167400881,5.50660793,0,0,0,0,0,0,0,0,0,0.220264317,0,0,0,0,0,0,13.87665198,0,0,0,0,0,0,0,0,0,0,0,0,0.220264317,5.066079295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.33480176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220264317,0,0,0,0,0,0.220264317,0,0,0,1.54185022,0,0,0,0,0,0,0,0,0,0,100
U3327,D09,Chum,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567398119,0,0,0,2.821316614,0,0,0,0,0,0,0,0,0,0,0,0,2.821316614,0,0,0,4.07523511,0,0,0.313479624,0,0,0,0,0,0,0,0,5.956112853,0,1.880877743,0,0,0,0,0,0,0,0,0,0,3.134796238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.78683386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313479624,0,0,0,5.329153605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3328,D09,Chum,QUADRA,0,0,2.528735632,0,0,0,0,0,0,0,0.114942529,0,0,0,0,0,0,6.781609195,0,0,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0,0.114942529,0,0,0,0,0,0,46.66666667,0,0,0.229885057,0,0,0,0,0,0,0,0,1.149425287,0,0.689655172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.49425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114942529,0,0,0,0,3.448275862,0,0,0,0,0,0,0,0,0,0,0,100
U3329,D09,Chum,QUADRA,0,0,0.163132137,0,0,0,0,0,0,2.610114192,0,0,0,0,0.163132137,0,0,0.163132137,0,0,2.446982055,11.25611746,0,0,0,0,0,0.652528548,0,0,0,0.163132137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.120717781,0,0,0,0,0,0,0.163132137,0,0,0,0,0,0,0,0,0,0,0,3.262642741,0.815660685,0.652528548,0,0,0,0,0,0,70.30995106,3.588907015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.468189233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3501,D09,Chum,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857,0,0,0,0,0,94.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3502,D09,Chum,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.614457831,0,0,0,0,0,0,0,0,0,0,0.301204819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301204819,2.409638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.80722892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301204819,0,0,0,16.26506024,0,0,0,0,0,0,0,0,0,0,100
U3503,D09,Chum,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272727273,0,0,0,0,0,13.63636364,11.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,2.272727273,4.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3762,D09,Pink,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538461538,0,7.692307692,0,6.923076923,0,0,0,0,0,0,0,0,0,0,3.076923077,0,0,0,0,0.769230769,5.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,3.076923077,0,0,0,0,0,6.153846154,60.76923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538461538,2.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0,0,0,0,0,0,0,0,100
