taxa_detail_calc,n,
Pinnotheres_taylori_Zoea_I,1,Pinnotheridae_Larvae
Pinnotheridae_Zoea,3,Pinnotheridae_Larvae
Pleocyemata_Larvae,1,Pleocyemata_Larvae
Pleocyemata_Zoea,5,Pleocyemata_Larvae
Pleuronectidae_Egg,1,Pleuronectidae_Egg
Pleuronichthys_coenosus_Egg,10,Pleuronectidae_Egg
Podon_leuckartii,3,
Podon_polyphemoides,2,Podonidae
Podonidae,1,Podonidae
Polychaeta_Nectochaete,4,
Porcelain_Object,1,Objects
Porcellanidae_Zoea,3,Porcellanidae_Zoea
Porcellanidae_Zoea_II,1,Porcellanidae_Zoea
Pseudocalanus,44,
Pteropoda,4,
Pteropoda_Veliger,16,Mollusca_Veliger
Rock_Object,1,Objects
Sagittoidea,20,
Sarsamphiascus,2,Harpacticoida
Senticaudata,5,
Siphonophorae,3,
Spionidae_Nectochaete,7,
Themisto_pacifica,22,
Thysanoessa,6,
Thysanoessa_inermis,3,
Thysanoessa_raschii,2,Thysanoessa
Thysanoessa_spinifera,15,
Tisbe,2,Harpacticoida
Tomopteris,3,
Tortanus_discaudatus,15,
Trematoda_Parasite,7,Parasites
Triconia_conifera,2,Cyclopoida
