fish_species,sample_site,mean,median,sd
Pink,J02,7.464324066702127,7.466265193370166,1.9321310616980603
Pink,J08,1.1263436100005455,0.9558494814814815,0.5975701981906089
Pink,J06,0.030831242427529576,0.010753220266208672,0.05483654510699107
Pink,D11,0.10284029176510413,0.08019075342465753,0.1119215126405876
Pink,D09,0.38160016614444625,0.28260305708144257,0.23865567875755325
Pink,D07,0.1313659262070064,0.08877985074626867,0.1589397428822671
Chum,J02,6.204005685709993,6.543684177215191,1.0958339940417536
Chum,J08,1.278302671098959,1.015979326923077,0.41266217980601533
Chum,J06,0.1877544220290758,0.18510390539675367,0.1036752047873369
Chum,D11,0.02473126798971416,0.006461457917830076,0.057109876244902776
Chum,D09,0.3025324718187281,0.22946484059272565,0.3099644999367589
Chum,D07,0.231850964056949,0.25410000000000005,0.11404113147980881
